Maximalfuellung LDR (16x1)

(Motordrehzahl)/%

		U/min															
		1000.000	1480.000	1600.000	1720.000	1840.000	1920.000	2000.000	2520.000	3000.000	3520.000	4000.000	4520.000	5000.000	5520.000	6000.000	6520.000
-	0	90.0000	108.0000	111.5156	117.0000	118.0078	119.0156	121.0078	118.2422	112.0078	114.8906	112.4766	116.0625	114.0000	110.0156	103.0078	100.0078
