Maximalfuellung LDR bei E_ldo (Überladefehler) (8x1)

(Motordrehzahl)/%

		Upm							
		1000.0	1720.0	2000.0	2520.0	3520.0	5000.0	5520.0	6520.0
-	0	87.750	105.750	113.250	111.750	105.750	111.750	114.750	101.250
