Kennlinie für maximales indiziertes Moment (8x1)

(Motordrehzahl)/%

		1/min							
		1000.0	1240.0	1480.0	2000.0	2520.0	3520.0	5000.0	6520.0
-	0	82.813	82.813	82.813	83.203	83.984	85.938	87.109	85.938
